Customer ID,Customer Name,Age Group,Gender,Region,Product Category,Sales Amount,Profit,Purchase Date
CUST0001,Courtney Delgado,65+,Male,East,Home & Kitchen,812.57,159.9,2023-02-01
CUST0002,Christine Gardner,65+,Female,West,Health & Beauty,916.27,135.5,2023-07-17
CUST0003,Tina Arnold,55-64,Male,South,Health & Beauty,577.95,189.93,2023-01-25
CUST0004,Brittany Taylor,55-64,Male,Central,Sports,817.86,7.6,2023-02-22
CUST0005,Sarah Blair,35-44,Male,North,Health & Beauty,522.24,32.04,2023-01-18
CUST0006,Colton Wilson,35-44,Female,East,Health & Beauty,657.01,60.52,2023-08-29
CUST0007,Jennifer Davis,55-64,Female,East,Clothing,301.94,45.01,2023-09-14
CUST0008,Cody Myers,55-64,Female,West,Home & Kitchen,697.38,130.11,2023-12-27
CUST0009,Richard Brown,18-24,Female,North,Home & Kitchen,778.98,54.86,2023-04-19
CUST0010,Joseph Anderson,45-54,Male,North,Electronics,854.3,130.52,2023-07-08
CUST0011,Arthur Dalton,55-64,Female,East,Home & Kitchen,280.31,33.87,2023-08-04
CUST0012,Kathleen Davenport,45-54,Female,North,Home & Kitchen,886.09,172.98,2023-01-24
CUST0013,Justin Mejia,35-44,Male,East,Home & Kitchen,942.34,17.17,2023-11-22
CUST0014,Mark Mcbride,35-44,Female,South,Home & Kitchen,96.97,38.51,2023-01-23
CUST0015,Amy Rodriguez,65+,Female,East,Health & Beauty,619.35,42.55,2023-12-06
CUST0016,Tanya Miller,45-54,Male,Central,Sports,452.83,94.33,2023-05-16
CUST0017,Taylor Robinson,18-24,Female,West,Health & Beauty,398.96,46.36,2023-08-16
CUST0018,George Watson,25-34,Male,East,Clothing,662.27,187.0,2023-07-16
CUST0019,Julie Fleming,45-54,Female,West,Sports,491.74,68.57,2023-12-26
CUST0020,Steven Collins,35-44,Male,North,Sports,897.42,34.85,2023-10-15
CUST0021,Brent Obrien,55-64,Female,Central,Home & Kitchen,804.14,130.63,2023-07-28
CUST0022,Donna Chan,45-54,Female,East,Health & Beauty,561.16,141.55,2023-08-30
CUST0023,Susan Phillips,45-54,Male,South,Electronics,164.59,12.21,2023-12-20
CUST0024,Peter Saunders,55-64,Male,South,Health & Beauty,630.28,124.18,2023-08-03
CUST0025,April Moore,45-54,Male,Central,Electronics,523.51,92.0,2023-11-29
CUST0026,David Collins,45-54,Male,North,Clothing,755.57,75.7,2023-01-20
CUST0027,Craig Salazar,55-64,Female,West,Clothing,680.08,93.51,2023-09-25
CUST0028,Jennifer Gardner,35-44,Female,West,Clothing,744.31,145.44,2023-05-01
CUST0029,Jennifer Davis,35-44,Male,East,Toys,414.95,81.58,2023-03-14
CUST0030,Christy Maynard,65+,Female,West,Toys,547.68,193.91,2023-03-05
CUST0031,Richard Duncan,18-24,Male,Central,Toys,191.21,197.18,2023-04-03
CUST0032,Janet Nguyen,35-44,Female,South,Health & Beauty,488.04,64.42,2023-01-22
CUST0033,Miranda Gordon,25-34,Male,Central,Toys,416.72,186.64,2023-11-22
CUST0034,Philip Marshall,25-34,Male,North,Electronics,504.0,138.17,2023-05-10
CUST0035,Trevor Fuentes,25-34,Female,Central,Clothing,417.18,83.19,2023-07-25
CUST0036,Mrs. Destiny Kim,35-44,Female,East,Sports,183.26,23.43,2023-09-11
CUST0037,Stephen Soto,45-54,Female,North,Electronics,504.1,189.47,2023-11-30
CUST0038,Timothy Roberts,45-54,Female,South,Toys,348.4,84.6,2023-07-10
CUST0039,Christina Grant,18-24,Female,East,Electronics,133.51,134.75,2023-10-12
CUST0040,Stephanie White,18-24,Female,Central,Toys,99.97,86.82,2023-01-24
CUST0041,Megan Thomas,65+,Male,Central,Toys,526.36,179.25,2023-10-06
CUST0042,Ryan Romero,35-44,Female,North,Health & Beauty,746.98,180.32,2023-12-10
CUST0043,Jacob Smith,55-64,Female,Central,Electronics,114.59,134.97,2023-06-28
CUST0044,Shannon Cox,45-54,Female,South,Clothing,136.86,96.93,2023-04-08
CUST0045,Benjamin Coffey,18-24,Female,South,Home & Kitchen,789.34,157.21,2023-09-21
